1,45.64789988,9.351554227,Velate Rugby 1981 Asd,segreteria@velaterugby.it,Via Bernardino Luini 20865 Usmate Velate MB,https://velaterugby.it/,393293944916,12,6,5,1,0,4,7,84,166,-82,7,4
2,45.56325945,9.017510264,Asd Rugby Lainate ,segreteria@rugbylainate.it,Via Circonvallazione Ovest 1 20020 Lainate MI,https://www.rugbylainate.it,390293572030,1,4,4,1,0,3,7,48,89,-41,2,5
3,45.52097904,9.318002413,Asd Rugby Cernusco  ,segreteria@rugbycernusco.it,Via Michelangelo Buonarroti 20063 Cernusco sul Naviglio MI,http://lnx.rugbycernusco.it,393314558577,4,14,4,3,0,1,30,205,48,157,4,2
4,45.37358456,10.21139467,Asd Rugby Bassa Bresciana Leno ,bassabrescianarugby@gmail.com,20 Via Martin Luther King 25024 Leno BS,https://www.rugbybassabresciana.it,390309038209,11,20,4,4,0,0,19,114,60,54,4,4
5,45.65664698,9.17892282,Seregno Rugby A R.L.,info@seregnorugby.eu,Via Riccardo Wagner 283 20831 Seregno MB,https://www.seregnorugby.eu,393471607075,7,6,4,1,0,3,10,81,151,-70,5,2
6,45.46878996,9.292750277,Cus Milano Rugby Asd,segreteria@cusmilanorugby.it,Via Carlo Pascal 6 20133 Milano,https://www.cusmilano.it,393288855335,15,20,4,4,0,0,40,249,17,232,1,3
7,45.83869398,9.405548583,Asd Rugby Lecco ,info@asdrugbylecco.com,Piazza Manzoni 23 23900 Lecco LC Italy,https://www.asdrugbylecco.net,390341285858,5,13,4,3,0,1,8,63,45,18,7,6
8,45.59952419,9.631326669,Phoenix Rugby Asd ,segreteria@phoenixrugby.it,Via Don Andreoletti 24049 Verdello BG,https://www.phoenixrugby.it,393286994150,10,9,5,2,0,3,5,44,112,-68,2,4
9,45.69777094,9.698192556,Asd Rugby Bergamo 1950 ,info@rugbybergamo1950.it,Via Pizzo della Presolana 24125 Bergamo BG,https://www.rugbybergamo1950.it,390354534414,16,10,4,2,0,2,17,106,98,8,4,3
10,45.53188522,9.598890207,Rugby Treviglio Asd ,info@rugbytreviglio.it,Via Ai Malgari 24047 Treviglio BG,https://rugbytreviglio.it,335 6641770,7,-4,4,0,0,4,3,32,178,-146,4,1
11,46.1670942,9.851129,Rugby Sondrio Soc.Coop.Dil. Arl , info@sondriorugby.com,Piazzale Fojanini 23100 Sondrio SO,http://www.sondriorugby.com,390342211386,12,20,4,4,0,0,30,178,29,149,3,1
12,45.53537482,9.063660542,Rugby Rho Asd  ,segreteria@rugbyrho.it,Via Trecate 52 20017 Rho MI,http://www.rugbyrho.it,393337199434,11,20,4,4,0,0,47,304,14,290,4,2
13,45.85319303,10.13688349,Asd Rugby Valle Camonica Ssd ,asdrugbyvallecamonica@gmail.com,Via Pascoli 24060 Rogno BG,http://rvallecamonica.it/,393336606975,17,0,4,0,0,4,8,52,330,-278,1,2
14,45.26063406,10.4109643,Asd Rugby Del Chiese ,rugbydelchiese@gmail.com,via iv Via IV Novembre 41C Casalmoro MN,https://it-it.facebook.com/rugbydelchiese/,393270090017,6,-4,4,0,0,4,6,39,278,-239,4,3
15,44.96031479,10.47423238,Casalmaggiore Rugby F.C. Asd ,N/A,Via Silvio Pellico 119/D 26041 Casalbellotto CR,https://www.facebook.com/CasalmaggioreRugby,393463719483,5,17,5,3,0,2,23,165,54,111,4,4
